article_id,article_title,article_date,sentence,category,voice,annotator
1479,Fears UK Chevening scholar killed in Gaza,2023-11-09,"  The  UK  government  has  previously  given  its  ""unequivocal""  support  to  Israel  saying  it  has  a  ""right  to  defend  itself""  following  the  7  October  attacks  by  Hamas  which  saw  1,400  people  killed  and  more  than  240  taken  hostage.  ",israel,ACTIVE,jan
1519,News outlets deny Israeli claims over Hamas attack,2023-11-10," Hamas  launched  devastating  and  unprecedented  attacks  on  southern  Israel  on  7  October,  killing  more  than  1,400  Israeli  civilians  and  soldiers,  and  kidnapping  more  than  240. ",israel,ACTIVE,jan
1519,News outlets deny Israeli claims over Hamas attack,2023-11-10," The  Committee  to  Protect  Journalists  (CPJ)  says  at  least  39  journalists  and  media  workers  have  been  killed  since  the  current  war  began,  including  34  Palestinians,  four  Israelis  and  one  Lebanese. ",both,PASSIVE,jan
1222,Tribute to Scottish victim of attack on Israel,2023-10-09, More  than  700  people  have  been  killed  in  Israel  since  Saturday  and  over  500  people  have  died  in  Gaza. ,both,PASSIVE,jan
1222,Tribute to Scottish victim of attack on Israel,2023-10-09," Mr  Cowan  is  among  more  than  10  British  citizens  feared  dead,  or  missing. ",israel,,jan
1222,Tribute to Scottish victim of attack on Israel,2023-10-09, He  was  identified  by  family  members  on  social  media  as  having  been  killed  in  the  attack. ,israel,PASSIVE,jan
1222,Tribute to Scottish victim of attack on Israel,2023-10-09," In  a  statement  his  family  said:  ""We  are  grieving  the  loss  of  our  son  and  brother,  Bernard  Cowan,  who  was  horrifically  murdered  on  Saturday  during  the  surprise  terrorist  attack  on  Israel  by  Hamas.  """,israel,PASSIVE,jan
1222,Tribute to Scottish victim of attack on Israel,2023-10-09," Nathanel  Young,  20,  who  was  serving  with  the  Israel  Defense  Forces,  is  the  only  other  Briton  confirmed  to  have  died. ",israel,,jan
1222,Tribute to Scottish victim of attack on Israel,2023-10-09," Mr  Stein  added:  ""Many  people  were  killed  and  injured  but  when  it's  somebody  that  you  know  personally  it  is  a  lot  more  difficult  to  understand,  comprehend  and  accept.  "" ",israel,PASSIVE,jan
1539,Surgeon who left Gaza urges UK government to do more,2023-11-05," However,  he  had  to  seek  shelter  when  war  broke  out  following  the  Hamas  attacks  in  Israel,  in  which  1,400  people  were  killed  and  about  240  hostages  taken. ",israel,PASSIVE,jan
