article_id,article_title,article_date,sentence,category,voice,annotator
8378,'I don't want to be a number': Gazans live in fear of dying.,2023-12-20, That  child  was  also  among  the  dead. ,palestine,ACTIVE,
8378,'I don't want to be a number': Gazans live in fear of dying.,2023-12-20, Rama  Zaqout  (left)  was  injured  in  an  Israeli  air  strike  that  killed  several  of  her  family  members. ,palestine,ACTIVE,
9700,Remains of hostages would be returned in phase three - Biden.,2024-05-31," ""Any  final  remains  of  hostages  who  have  been  killed  would  be  returned  to  their  families,""  he  says. ",israel,ACTIVE,
10836,More than 100 Israeli soldiers killed since ground operation - IDF.,2023-12-11, More  than  100  Israeli  soldiers  killed  since  ground  operation  -  IDF. ,israel,ACTIVE,
10836,More than 100 Israeli soldiers killed since ground operation - IDF.,2023-12-11, More  than  100  Israeli  soldiers  have  died  since  the  beginning  of  Israel's  ground  offensive  in  Gaza. ,israel,ACTIVE,
10836,More than 100 Israeli soldiers killed since ground operation - IDF.,2023-12-11," Three  of  the  four  announced  dead  this  morning  were  killed  in  fighting  in  southern  Gaza,  while  the  fourth  died  in  a  military-related  traffic  accident,  the  Israel  Defense  Forces  says. ",israel,,
10836,More than 100 Israeli soldiers killed since ground operation - IDF.,2023-12-11, The  IDF  have  published  the  names  of  430  troops  killed  since  7  October  when  Hamas  attacked  Israel. ,israel,ACTIVE,
10836,More than 100 Israeli soldiers killed since ground operation - IDF.,2023-12-11," Of  these  deaths,  101  have  been  killed  since  the  IDF  began  its  extensive  ground  assault  on  Gaza  on  27  October,  which  has  continued  since  -  other  than  during  a  seven-day  ceasefire  which  ended  on  1  December. ",israel,PASSIVE,
2116,Gaza protest held at athletics championship venue,2024-03-02," She  told  BBC  Scotland:  ""We  meet  every  single  week  as  healthcare  workers  to  remember  our  colleagues  who  have  been  killed,  including  four  Israeli  healthcare  workers,  and  to  share  their  stories.  """,both,PASSIVE,
2116,Gaza protest held at athletics championship venue,2024-03-02," Israel  military  launched  a  large-scale  air  and  ground  campaign  to  destroy  Hamas  -  which  is  proscribed  as  a  terrorist  organisation  by  Israel,  the  UK  and  others  -  after  its  gunmen  killed  about  1,200  people  in  southern  Israel  on  7  October. ",israel,ACTIVE,
2116,Gaza protest held at athletics championship venue,2024-03-02," Gaza's  Hamas-run  health  ministry  says  more  than  30,000  people,  including  21,000  children  and  women,  have  been  killed  in  Gaza  since  then. ",palestine,PASSIVE,
2670,UN defends Gaza casualty tally amid Israeli anger,2024-05-17, Israel  earlier  said  a  recent  reduction  in  UN  estimates  of  killed  Palestinian  women  and  children  suggested  it  had  relied  on  false  data  from  Hamas. ,palestine,,
2670,UN defends Gaza casualty tally amid Israeli anger,2024-05-17," How  the  dead  are  counted  in  Gaza  Speaking  to  the  BBC's  Today  programme,  Mr  Griffiths  said:  ""Gaza  is  a  war  zone  and  the  collection  of  data  and  statistics,  while  admirable  and  necessary,  is  first  of  all  secondary  to  actually  delivering  some  aid  and,  secondly,  very  difficult  in  cases  of  insecurity  and  violence.  """,palestine,,
2670,UN defends Gaza casualty tally amid Israeli anger,2024-05-17," The  UN  had  reduced  its  estimate  of  women  and  children  killed  in  Gaza  by  50%  and  claims  that  it  relied  on  data  from  the  Hamas  Ministry  of  Health,""  Mr  Katz  wrote  in  a  post  on  X  on  Monday.  """,palestine,,
2670,UN defends Gaza casualty tally amid Israeli anger,2024-05-17,"""Israel  began  its  military  campaign  in  the  Gaza  Strip  in  the  wake  of  Hamas's  attacks  on  7  October,  in  which  1,200  people  -  mostly  civilians  -  were  killed,  and  252  others  were  taken  hostage. ",israel,PASSIVE,
2664,UN Security Council passes Gaza ceasefire resolution,2024-03-25," ""It  has  taken  six  months,  over  100,000  Palestinians  killed  and  maimed,  two  million  displaced,  and  famine,  for  this  council  to  finally  demand  an  immediate  ceasefire,""  Mr  Mansour  said. ",palestine,ACTIVE,
